City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
400,Moron,AR,-34.6534,-58.6198,77.0,53,0,6.08,clear sky
401,Bourail,NC,-21.5667,165.4833,79.43,68,72,10.09,broken clouds
402,Santiago De Cuba,CU,20.0247,-75.8219,74.86,90,23,0.16,few clouds
403,Wau,SS,7.7029,27.9953,72.91,81,96,2.21,overcast clouds
404,Aksu,CN,41.1231,80.2644,53.87,32,79,1.63,broken clouds
405,Caibarien,CU,22.5206,-79.4669,77.88,85,74,5.57,broken clouds
406,Skelleftea,SE,64.7507,20.9528,33.01,69,90,4.61,snow
407,Tungor,RU,53.3808,142.9564,40.82,85,100,11.21,overcast clouds
408,Kavaratti,IN,10.5669,72.642,79.52,80,100,8.63,overcast clouds
409,Pathein,MM,16.7833,94.7333,84.45,76,98,8.28,overcast clouds
410,Palm Valley,US,30.1775,-81.3876,71.62,87,47,6.33,scattered clouds
411,Kibakwe,TZ,-6.7167,36.3667,63.95,81,13,2.77,few clouds
412,Monterey,US,36.2505,-121.2516,60.84,1,0,6.06,clear sky
413,La Rioja,ES,42.25,-2.5,40.48,58,79,3.29,broken clouds
414,Mandera,KE,3.9366,41.867,78.57,68,6,10.8,clear sky
415,Ostersund,SE,63.1792,14.6357,45.05,70,94,16.11,overcast clouds
416,Osorio,BR,-29.8867,-50.2697,66.16,82,0,5.23,clear sky
417,Tukrah,LY,32.5341,20.5791,67.98,83,4,6.78,clear sky
418,Tomatlan,MX,19.9333,-105.25,74.46,93,98,3.53,overcast clouds
419,Tupik,RU,54.4253,119.9327,42.58,53,83,3.49,broken clouds
420,Flin Flon,CA,54.7682,-101.865,42.4,88,100,3.18,overcast clouds
421,Matagami,CA,49.7502,-77.6328,32.11,100,1,0.0,clear sky
422,Qui Nhon,VN,13.7667,109.2333,81.05,83,68,2.84,broken clouds
423,Develi,TR,38.3906,35.4922,42.15,55,96,0.92,overcast clouds
424,Gloversville,US,43.0528,-74.3438,44.65,90,1,0.0,clear sky
425,Druzhba,UA,52.0428,33.9453,43.11,85,100,14.54,overcast clouds
426,Vao,NC,-22.6667,167.4833,72.45,82,45,15.19,scattered clouds
427,Sangar,RU,63.9242,127.4739,21.76,95,100,8.43,light snow
428,Oistins,BB,13.0667,-59.5333,80.69,74,20,13.8,few clouds
429,Myaundzha,RU,63.0494,147.1858,6.89,94,37,1.21,scattered clouds
430,Vicuna,CL,-30.0319,-70.7081,46.13,50,66,2.71,broken clouds
431,Lyaskelya,RU,61.7667,31.0167,41.88,94,100,2.93,overcast clouds
432,Aswan,EG,24.0934,32.907,74.5,33,0,0.0,clear sky
433,Tanout,NE,14.9709,8.8879,80.06,14,8,9.13,clear sky
434,Ellensburg,US,46.9965,-120.5479,48.88,84,90,3.0,overcast clouds
435,Copiapo,CL,-27.3667,-70.3333,51.49,44,8,2.44,clear sky
